"","term","gene","Genes_in_Pathway"
"553","GABA shunt","ABAT",10
"554","GABA shunt","ADHFE1",10
"555","GABA shunt","AKR7A2",10
"556","GABA shunt","ALDH4A1",10
"557","GABA shunt","ALDH5A1",10
"558","GABA shunt","GAD1",10
"559","GABA shunt","GAD2",10
"560","GABA shunt","SLC36A1",10
"561","GABA shunt","CNDP1",10
"562","Galactose metabolism","B4GALT1",20
"563","Galactose metabolism","B4GALT2",20
"564","Galactose metabolism","GALE",20
"565","Galactose metabolism","GALK1",20
"566","Galactose metabolism","GALK2",20
"567","Galactose metabolism","GALT",20
"568","Galactose metabolism","GLB1",20
"569","Galactose metabolism","LALBA",20
"570","Galactose metabolism","LCT",20
"571","Galactose metabolism","NEU1",20
"572","Galactose metabolism","SI",20
"573","Galactose metabolism","SLC2A10",20
"574","Galactose metabolism","SLC2A2",20
"575","Galactose metabolism","SLC2A3",20
"576","Galactose metabolism","SLC2A4",20
"577","Galactose metabolism","SLC2A8",20
"578","Galactose metabolism","SLC5A1",20
"579","Galactose metabolism","SLC5A11",20
"580","Galactose metabolism","SLC5A9",20
"581","Galactose metabolism","UGP2",20
"582","Glutamate metabolism","ACY1",41
"583","Glutamate metabolism","ALDH18A1",41
"584","Glutamate metabolism","ALDH4A1",41
"585","Glutamate metabolism","GLS",41
"586","Glutamate metabolism","GLS2",41
"587","Glutamate metabolism","GLUD1",41
"588","Glutamate metabolism","GLUD2",41
"589","Glutamate metabolism","GLUL",41
"590","Glutamate metabolism","GOT1",41
"591","Glutamate metabolism","GOT2",41
"592","Glutamate metabolism","GPT",41
"593","Glutamate metabolism","GPT2",41
"594","Glutamate metabolism","NAGS",41
"595","Glutamate metabolism","SLC17A6",41
"596","Glutamate metabolism","SLC17A7",41
"597","Glutamate metabolism","SLC17A8",41
"598","Glutamate metabolism","SLC1A1",41
"599","Glutamate metabolism","SLC1A2",41
"600","Glutamate metabolism","SLC1A3",41
"601","Glutamate metabolism","SLC1A5",41
"602","Glutamate metabolism","SLC1A6",41
"603","Glutamate metabolism","SLC1A7",41
"604","Glutamate metabolism","SLC25A12",41
"605","Glutamate metabolism","SLC25A13",41
"606","Glutamate metabolism","SLC25A18",41
"607","Glutamate metabolism","SLC25A22",41
"608","Glutamate metabolism","SLC32A1",41
"609","Glutamate metabolism","SLC38A1",41
"610","Glutamate metabolism","SLC38A2",41
"611","Glutamate metabolism","SLC38A3",41
"612","Glutamate metabolism","SLC38A4",41
"613","Glutamate metabolism","SLC38A5",41
"614","Glutamate metabolism","SLC3A2",41
"615","Glutamate metabolism","SLC6A1",41
"616","Glutamate metabolism","SLC6A11",41
"617","Glutamate metabolism","SLC6A12",41
"618","Glutamate metabolism","SLC6A13",41
"619","Glutamate metabolism","SLC7A11",41
"620","Glutamate metabolism","SLC7A6",41
"621","Glutamate metabolism","SLC7A7",41
"622","Glutamate metabolism","OPLAH",41
"623","Glutathione Metabolism","GLRX",24
"624","Glutathione Metabolism","GLRX2",24
"625","Glutathione Metabolism","CBS",24
"626","Glutathione Metabolism","CTH",24
"627","Glutathione Metabolism","GSR",24
"628","Glutathione Metabolism","ADH5",24
"629","Glutathione Metabolism","ESD",24
"630","Glutathione Metabolism","GCLC",24
"631","Glutathione Metabolism","GCLM",24
"632","Glutathione Metabolism","GGT1",24
"633","Glutathione Metabolism","GPX1",24
"634","Glutathione Metabolism","GPX2",24
"635","Glutathione Metabolism","GPX3",24
"636","Glutathione Metabolism","GPX4",24
"637","Glutathione Metabolism","GPX5",24
"638","Glutathione Metabolism","GPX6",24
"639","Glutathione Metabolism","GPX7",24
"640","Glutathione Metabolism","GPX8",24
"641","Glutathione Metabolism","GSS",24
"642","Glutathione Metabolism","PRDX1",24
"643","Glutathione Metabolism","PRDX2",24
"644","Glutathione Metabolism","PRDX3",24
"645","Glutathione Metabolism","HAGH",24
"646","Glutathione Metabolism","GSTM1",24
"647","Glycerophospholipid Metabolism","LCAT",71
"648","Glycerophospholipid Metabolism","ABCB4",71
"649","Glycerophospholipid Metabolism","ACHE",71
"650","Glycerophospholipid Metabolism","AGPS",71
"651","Glycerophospholipid Metabolism","ALPI",71
"652","Glycerophospholipid Metabolism","ALPL",71
"653","Glycerophospholipid Metabolism","ALPP",71
"654","Glycerophospholipid Metabolism","ALPPL2",71
"655","Glycerophospholipid Metabolism","ATP10A",71
"656","Glycerophospholipid Metabolism","ATP8A1",71
"657","Glycerophospholipid Metabolism","CDIPT",71
"658","Glycerophospholipid Metabolism","CDS1",71
"659","Glycerophospholipid Metabolism","CDS2",71
"660","Glycerophospholipid Metabolism","CEPT1",71
"661","Glycerophospholipid Metabolism","CHAT",71
"662","Glycerophospholipid Metabolism","CHKA",71
"663","Glycerophospholipid Metabolism","CHKB",71
"664","Glycerophospholipid Metabolism","CHPT1",71
"665","Glycerophospholipid Metabolism","CLC",71
"666","Glycerophospholipid Metabolism","CRLS1",71
"667","Glycerophospholipid Metabolism","DGKA",71
"668","Glycerophospholipid Metabolism","DGKB",71
"669","Glycerophospholipid Metabolism","DGKD",71
"670","Glycerophospholipid Metabolism","DGKE",71
"671","Glycerophospholipid Metabolism","DGKG",71
"672","Glycerophospholipid Metabolism","DGKH",71
"673","Glycerophospholipid Metabolism","DGKI",71
"674","Glycerophospholipid Metabolism","DGKQ",71
"675","Glycerophospholipid Metabolism","DGKZ",71
"676","Glycerophospholipid Metabolism","ETNK1",71
"677","Glycerophospholipid Metabolism","ETNK2",71
"678","Glycerophospholipid Metabolism","GK",71
"679","Glycerophospholipid Metabolism","GK2",71
"680","Glycerophospholipid Metabolism","GK3P",71
"681","Glycerophospholipid Metabolism","GPD1",71
"682","Glycerophospholipid Metabolism","LGALS13",71
"683","Glycerophospholipid Metabolism","PAFAH1B1",71
"684","Glycerophospholipid Metabolism","PAFAH1B2",71
"685","Glycerophospholipid Metabolism","PAFAH1B3",71
"686","Glycerophospholipid Metabolism","PAFAH2",71
"687","Glycerophospholipid Metabolism","PCYT1A",71
"688","Glycerophospholipid Metabolism","PCYT1B",71
"689","Glycerophospholipid Metabolism","PCYT2",71
"690","Glycerophospholipid Metabolism","PEMT",71
"691","Glycerophospholipid Metabolism","PGS1",71
"692","Glycerophospholipid Metabolism","PHOSPHO1",71
"693","Glycerophospholipid Metabolism","PI4K2A",71
"694","Glycerophospholipid Metabolism","PIP5K1A",71
"695","Glycerophospholipid Metabolism","PIP5K1B",71
"696","Glycerophospholipid Metabolism","PIP5K1C",71
"697","Glycerophospholipid Metabolism","PISD",71
"698","Glycerophospholipid Metabolism","PLA2G10",71
"699","Glycerophospholipid Metabolism","PLA2G12A",71
"700","Glycerophospholipid Metabolism","PLA2G1B",71
"701","Glycerophospholipid Metabolism","PLA2G2A",71
"702","Glycerophospholipid Metabolism","PLA2G2D",71
"703","Glycerophospholipid Metabolism","PLA2G2E",71
"704","Glycerophospholipid Metabolism","PLA2G2F",71
"705","Glycerophospholipid Metabolism","PLA2G4A",71
"706","Glycerophospholipid Metabolism","PLA2G5",71
"707","Glycerophospholipid Metabolism","PLA2G6",71
"708","Glycerophospholipid Metabolism","PLA2G7",71
"709","Glycerophospholipid Metabolism","PLD1",71
"710","Glycerophospholipid Metabolism","PLD2",71
"711","Glycerophospholipid Metabolism","PTDSS1",71
"712","Glycerophospholipid Metabolism","PTDSS2",71
"713","Glycerophospholipid Metabolism","SLC18A3",71
"714","Glycerophospholipid Metabolism","SLC22A1",71
"715","Glycerophospholipid Metabolism","SLC22A2",71
"716","Glycerophospholipid Metabolism","SLC22A3",71
"717","Glycerophospholipid Metabolism","SLC5A7",71
"718","Glycine, Serine and Threonine Metabolism","CBS",43
"719","Glycine, Serine and Threonine Metabolism","AGXT",43
"720","Glycine, Serine and Threonine Metabolism","AGXT2",43
"721","Glycine, Serine and Threonine Metabolism","AGXT2L1",43
"722","Glycine, Serine and Threonine Metabolism","AOC3",43
"723","Glycine, Serine and Threonine Metabolism","BHMT",43
"724","Glycine, Serine and Threonine Metabolism","BHMT2",43
"725","Glycine, Serine and Threonine Metabolism","CHDH",43
"726","Glycine, Serine and Threonine Metabolism","DAO",43
"727","Glycine, Serine and Threonine Metabolism","DLD",43
"728","Glycine, Serine and Threonine Metabolism","DMGDH",43
"729","Glycine, Serine and Threonine Metabolism","GATM",43
"730","Glycine, Serine and Threonine Metabolism","GCAT",43
"731","Glycine, Serine and Threonine Metabolism","GCSH",43
"732","Glycine, Serine and Threonine Metabolism","GLDC",43
"733","Glycine, Serine and Threonine Metabolism","GNMT",43
"734","Glycine, Serine and Threonine Metabolism","MAOA",43
"735","Glycine, Serine and Threonine Metabolism","MAOB",43
"736","Glycine, Serine and Threonine Metabolism","PHGDH",43
"737","Glycine, Serine and Threonine Metabolism","PIPOX",43
"738","Glycine, Serine and Threonine Metabolism","PSAT1",43
"739","Glycine, Serine and Threonine Metabolism","PSPH",43
"740","Glycine, Serine and Threonine Metabolism","SARDH",43
"741","Glycine, Serine and Threonine Metabolism","SDS",43
"742","Glycine, Serine and Threonine Metabolism","SHMT1",43
"743","Glycine, Serine and Threonine Metabolism","SHMT2",43
"744","Glycine, Serine and Threonine Metabolism","SLC1A4",43
"745","Glycine, Serine and Threonine Metabolism","SLC1A5",43
"746","Glycine, Serine and Threonine Metabolism","SLC32A1",43
"747","Glycine, Serine and Threonine Metabolism","SLC36A1",43
"748","Glycine, Serine and Threonine Metabolism","SLC38A1",43
"749","Glycine, Serine and Threonine Metabolism","SLC38A2",43
"750","Glycine, Serine and Threonine Metabolism","SLC38A4",43
"751","Glycine, Serine and Threonine Metabolism","SLC38A5",43
"752","Glycine, Serine and Threonine Metabolism","SLC3A1",43
"753","Glycine, Serine and Threonine Metabolism","SLC6A12",43
"754","Glycine, Serine and Threonine Metabolism","SLC6A14",43
"755","Glycine, Serine and Threonine Metabolism","SLC6A5",43
"756","Glycine, Serine and Threonine Metabolism","SLC6A9",43
"757","Glycine, Serine and Threonine Metabolism","SLC7A10",43
"758","Glycine, Serine and Threonine Metabolism","SLC7A8",43
"759","Glycine, Serine and Threonine Metabolism","SLC7A9",43
"760","Glycine, Serine and Threonine Metabolism","THNSL1",43
"761","Glycogen Degradation","AGL",6
"762","Glycogen Degradation","GAA",6
"763","Glycogen Degradation","GANC",6
"764","Glycogen Degradation","PYGB",6
"765","Glycogen Degradation","PYGL",6
"766","Glycogen Degradation","PYGM",6
"767","Glycogen Synthesis","GBE1",5
"768","Glycogen Synthesis","GYG1",5
"769","Glycogen Synthesis","GYG2",5
"770","Glycogen Synthesis","GYS1",5
"771","Glycogen Synthesis","GYS2",5
"772","Glycolysis and Gluconeogenesis","PFKFB1",72
"773","Glycolysis and Gluconeogenesis","PFKFB2",72
"774","Glycolysis and Gluconeogenesis","PFKFB3",72
"775","Glycolysis and Gluconeogenesis","PFKFB4",72
"776","Glycolysis and Gluconeogenesis","ACYP1",72
"777","Glycolysis and Gluconeogenesis","ACYP2",72
"778","Glycolysis and Gluconeogenesis","ALDOA",72
"779","Glycolysis and Gluconeogenesis","ALDOB",72
"780","Glycolysis and Gluconeogenesis","ALDOC",72
"781","Glycolysis and Gluconeogenesis","BPGM",72
"782","Glycolysis and Gluconeogenesis","ENO1",72
"783","Glycolysis and Gluconeogenesis","ENO2",72
"784","Glycolysis and Gluconeogenesis","ENO3",72
"785","Glycolysis and Gluconeogenesis","FBP1",72
"786","Glycolysis and Gluconeogenesis","FBP2",72
"787","Glycolysis and Gluconeogenesis","G6PC",72
"788","Glycolysis and Gluconeogenesis","G6PC2",72
"789","Glycolysis and Gluconeogenesis","G6PC3",72
"790","Glycolysis and Gluconeogenesis","GAPDH",72
"791","Glycolysis and Gluconeogenesis","GAPDHS",72
"792","Glycolysis and Gluconeogenesis","GCK",72
"793","Glycolysis and Gluconeogenesis","GPD2",72
"794","Glycolysis and Gluconeogenesis","GPI",72
"795","Glycolysis and Gluconeogenesis","HK1",72
"796","Glycolysis and Gluconeogenesis","HK2",72
"797","Glycolysis and Gluconeogenesis","HK3",72
"798","Glycolysis and Gluconeogenesis","HKDC1",72
"799","Glycolysis and Gluconeogenesis","LDHA",72
"800","Glycolysis and Gluconeogenesis","LDHAL6A",72
"801","Glycolysis and Gluconeogenesis","LDHAL6B",72
"802","Glycolysis and Gluconeogenesis","LDHB",72
"803","Glycolysis and Gluconeogenesis","LDHC",72
"804","Glycolysis and Gluconeogenesis","LDHD",72
"805","Glycolysis and Gluconeogenesis","PCK1",72
"806","Glycolysis and Gluconeogenesis","PCK2",72
"807","Glycolysis and Gluconeogenesis","PFKL",72
"808","Glycolysis and Gluconeogenesis","PFKM",72
"809","Glycolysis and Gluconeogenesis","PFKP",72
"810","Glycolysis and Gluconeogenesis","PGAM1",72
"811","Glycolysis and Gluconeogenesis","PGAM2",72
"812","Glycolysis and Gluconeogenesis","PGK1",72
"813","Glycolysis and Gluconeogenesis","PGK2",72
"814","Glycolysis and Gluconeogenesis","PGM1",72
"815","Glycolysis and Gluconeogenesis","PGM2",72
"816","Glycolysis and Gluconeogenesis","PKLR",72
"817","Glycolysis and Gluconeogenesis","PKM2",72
"818","Glycolysis and Gluconeogenesis","SLC16A1",72
"819","Glycolysis and Gluconeogenesis","SLC16A3",72
"820","Glycolysis and Gluconeogenesis","SLC16A7",72
"821","Glycolysis and Gluconeogenesis","SLC16A8",72
"822","Glycolysis and Gluconeogenesis","SLC25A11",72
"823","Glycolysis and Gluconeogenesis","SLC2A1",72
"824","Glycolysis and Gluconeogenesis","SLC2A10",72
"825","Glycolysis and Gluconeogenesis","SLC2A11",72
"826","Glycolysis and Gluconeogenesis","SLC2A12",72
"827","Glycolysis and Gluconeogenesis","SLC2A14",72
"828","Glycolysis and Gluconeogenesis","SLC2A2",72
"829","Glycolysis and Gluconeogenesis","SLC2A3",72
"830","Glycolysis and Gluconeogenesis","SLC2A4",72
"831","Glycolysis and Gluconeogenesis","SLC2A6",72
"832","Glycolysis and Gluconeogenesis","SLC2A7",72
"833","Glycolysis and Gluconeogenesis","SLC2A8",72
"834","Glycolysis and Gluconeogenesis","SLC2A9",72
"835","Glycolysis and Gluconeogenesis","SLC5A1",72
"836","Glycolysis and Gluconeogenesis","SLC5A11",72
"837","Glycolysis and Gluconeogenesis","SLC5A12",72
"838","Glycolysis and Gluconeogenesis","SLC5A2",72
"839","Glycolysis and Gluconeogenesis","SLC5A3",72
"840","Glycolysis and Gluconeogenesis","SLC5A8",72
"841","Glycolysis and Gluconeogenesis","SLC5A9",72
"842","Glycolysis and Gluconeogenesis","TPI1",72
"843","Glycolysis and Gluconeogenesis","UEVLD",72
"844","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","DPM2",22
"845","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","GPAA1",22
"846","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","PGAP1",22
"847","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","PIGA",22
"848","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","PIGB",22
"849","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","PIGC",22
"850","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","PIGF",22
"851","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","PIGG",22
"852","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","PIGH",22
"853","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","PIGK",22
"854","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","PIGL",22
"855","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","PIGM",22
"856","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","PIGN",22
"857","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","PIGO",22
"858","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","PIGP",22
"859","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","PIGQ",22
"860","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","PIGS",22
"861","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","PIGT",22
"862","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","PIGV",22
"863","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","PIGW",22
"864","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","PIGX",22
"865","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","PIGZ",22
"866","Glyoxylate and Dicarboxylate Metabolism","GRHPR",5
"867","Glyoxylate and Dicarboxylate Metabolism","HAO1",5
"868","Glyoxylate and Dicarboxylate Metabolism","HAO2",5
"869","Glyoxylate and Dicarboxylate Metabolism","GLO1",5
"870","Glyoxylate and Dicarboxylate Metabolism","HAGHL",5
"871","Heparan sulfate degradation","GNS",6
"872","Heparan sulfate degradation","GUSB",6
"873","Heparan sulfate degradation","IDS",6
"874","Heparan sulfate degradation","IDUA",6
"875","Heparan sulfate degradation","NAGLU",6
"876","Heparan sulfate degradation","SGSH",6
"877","Histidine Metabolism","ALDH2",23
"878","Histidine Metabolism","ALDH3A1",23
"879","Histidine Metabolism","ALDH3B1",23
"880","Histidine Metabolism","ALDH3B2",23
"881","Histidine Metabolism","ABP1",23
"882","Histidine Metabolism","AOC2",23
"883","Histidine Metabolism","AOC3",23
"884","Histidine Metabolism","CNDP1",23
"885","Histidine Metabolism","DDC",23
"886","Histidine Metabolism","FTCD",23
"887","Histidine Metabolism","HAL",23
"888","Histidine Metabolism","HDC",23
"889","Histidine Metabolism","HNMT",23
"890","Histidine Metabolism","MAOA",23
"891","Histidine Metabolism","MAOB",23
"892","Histidine Metabolism","SLC22A1",23
"893","Histidine Metabolism","SLC22A2",23
"894","Histidine Metabolism","SLC22A3",23
"895","Histidine Metabolism","SLC38A3",23
"896","Histidine Metabolism","SLC38A4",23
"897","Histidine Metabolism","SLC3A1",23
"898","Histidine Metabolism","SLC6A14",23
"899","Histidine Metabolism","UROC1",23
"900","Histone Methylation","DOT1L",8
"901","Histone Methylation","MLL3",8
"902","Histone Methylation","MLL4",8
"903","Histone Methylation","SETD7",8
"904","Histone Methylation","SETDB1",8
"905","Histone Methylation","SETDB2",8
"906","Histone Methylation","SUV39H1",8
"907","Histone Methylation","SUV39H2",8
"908","Hyaluronan Metabolism","GUSB",6
"909","Hyaluronan Metabolism","HAS1",6
"910","Hyaluronan Metabolism","HAS2",6
"911","Hyaluronan Metabolism","HAS3",6
"912","Hyaluronan Metabolism","HEXA",6
"913","Hyaluronan Metabolism","HEXB",6
"914","Inositol Phosphate Metabolism","IMPA1",9
"915","Inositol Phosphate Metabolism","IMPA2",9
"916","Inositol Phosphate Metabolism","IPMK",9
"917","Inositol Phosphate Metabolism","ISYNA1",9
"918","Inositol Phosphate Metabolism","MIOX",9
"919","Inositol Phosphate Metabolism","PI4K2A",9
"920","Inositol Phosphate Metabolism","SLC2A13",9
"921","Inositol Phosphate Metabolism","SLC5A11",9
"922","Inositol Phosphate Metabolism","SLC5A3",9
"923","Keratan sulfate biosynthesis","B3GNT2",21
"924","Keratan sulfate biosynthesis","B3GNT3",21
"925","Keratan sulfate biosynthesis","B3GNT4",21
"926","Keratan sulfate biosynthesis","B3GNT6",21
"927","Keratan sulfate biosynthesis","B3GNT7",21
"928","Keratan sulfate biosynthesis","B3GNT8",21
"929","Keratan sulfate biosynthesis","B3GNTL1",21
"930","Keratan sulfate biosynthesis","B4GALT1",21
"931","Keratan sulfate biosynthesis","B4GALT2",21
"932","Keratan sulfate biosynthesis","B4GALT3",21
"933","Keratan sulfate biosynthesis","B4GALT5",21
"934","Keratan sulfate biosynthesis","CHST1",21
"935","Keratan sulfate biosynthesis","CHST2",21
"936","Keratan sulfate biosynthesis","CHST3",21
"937","Keratan sulfate biosynthesis","CHST4",21
"938","Keratan sulfate biosynthesis","CHST5",21
"939","Keratan sulfate biosynthesis","CHST6",21
"940","Keratan sulfate biosynthesis","ST3GAL1",21
"941","Keratan sulfate biosynthesis","ST3GAL2",21
"942","Keratan sulfate biosynthesis","ST3GAL3",21
"943","Keratan sulfate biosynthesis","ST3GAL4",21
"944","Keratan sulfate degradation","AGA",10
"945","Keratan sulfate degradation","FUCA1",10
"946","Keratan sulfate degradation","FUCA2",10
"947","Keratan sulfate degradation","GALNS",10
"948","Keratan sulfate degradation","GLB1",10
"949","Keratan sulfate degradation","GNS",10
"950","Keratan sulfate degradation","HEXA",10
"951","Keratan sulfate degradation","HEXB",10
"952","Keratan sulfate degradation","NAGA",10
"953","Keratan sulfate degradation","NEU1",10
"954","Ketone Bodies Metabolism","ACAT1",16
"955","Ketone Bodies Metabolism","ACAT2",16
"956","Ketone Bodies Metabolism","BDH1",16
"957","Ketone Bodies Metabolism","SLC16A1",16
"958","Ketone Bodies Metabolism","SLC16A3",16
"959","Ketone Bodies Metabolism","SLC16A8",16
"960","Ketone Bodies Metabolism","SLC5A12",16
"961","Ketone Bodies Metabolism","SLC5A8",16
"962","Ketone Bodies Metabolism","HMGCL",16
"963","Ketone Bodies Metabolism","HMGCLL1",16
"964","Ketone Bodies Metabolism","AACS",16
"965","Ketone Bodies Metabolism","ACSS1",16
"966","Ketone Bodies Metabolism","ACSS2",16
"967","Ketone Bodies Metabolism","ACOT12",16
"968","Ketone Bodies Metabolism","OXCT1",16
"969","Ketone Bodies Metabolism","OXCT2",16
"970","Lysine Metabolism","ALDH2",18
"971","Lysine Metabolism","ALDH7A1",18
"972","Lysine Metabolism","AADAT",18
"973","Lysine Metabolism","AASS",18
"974","Lysine Metabolism","BBOX1",18
"975","Lysine Metabolism","PIPOX",18
"976","Lysine Metabolism","SLC25A21",18
"977","Lysine Metabolism","SLC38A4",18
"978","Lysine Metabolism","SLC3A1",18
"979","Lysine Metabolism","SLC6A14",18
"980","Lysine Metabolism","SLC7A1",18
"981","Lysine Metabolism","SLC7A2",18
"982","Lysine Metabolism","SLC7A3",18
"983","Lysine Metabolism","SPCS1",18
"984","Lysine Metabolism","SPCS2",18
"985","Lysine Metabolism","SPCS3",18
"986","Lysine Metabolism","TMLHE",18
"987","Lysine Metabolism","GCDH",18
"988","Methionine Metabolism","AHCY",23
"989","Methionine Metabolism","AHCYL1",23
"990","Methionine Metabolism","AHCYL2",23
"991","Methionine Metabolism","ACY1",23
"992","Methionine Metabolism","AMD1",23
"993","Methionine Metabolism","GNMT",23
"994","Methionine Metabolism","DNMT1",23
"995","Methionine Metabolism","DNMT3A",23
"996","Methionine Metabolism","DNMT3B",23
"997","Methionine Metabolism","DNMT3L",23
"998","Methionine Metabolism","BHMT",23
"999","Methionine Metabolism","BHMT2",23
"1000","Methionine Metabolism","MAT1A",23
"1001","Methionine Metabolism","MAT2A",23
"1002","Methionine Metabolism","MAT2B",23
"1003","Methionine Metabolism","MTAP",23
"1004","Methionine Metabolism","MTR",23
"1005","Methionine Metabolism","SLC25A26",23
"1006","Methionine Metabolism","SLC3A1",23
"1007","Methionine Metabolism","SLC43A2",23
"1008","Methionine Metabolism","SLC6A14",23
"1009","Methionine Metabolism","SLC7A8",23
"1010","Methionine Metabolism","SUOX",23
"1011","Multidrug resistance","ABCB4",4
"1012","Multidrug resistance","ABCC1",4
"1013","Multidrug resistance","ABCC3",4
"1014","Multidrug resistance","ABCC4",4
"1015","N-Glycan Biosynthesis","ALG1",38
"1016","N-Glycan Biosynthesis","ALG10",38
"1017","N-Glycan Biosynthesis","ALG12",38
"1018","N-Glycan Biosynthesis","ALG2",38
"1019","N-Glycan Biosynthesis","ALG3",38
"1020","N-Glycan Biosynthesis","ALG5",38
"1021","N-Glycan Biosynthesis","ALG6",38
"1022","N-Glycan Biosynthesis","ALG8",38
"1023","N-Glycan Biosynthesis","B4GALT1",38
"1024","N-Glycan Biosynthesis","B4GALT2",38
"1025","N-Glycan Biosynthesis","B4GALT3",38
"1026","N-Glycan Biosynthesis","B4GALT5",38
"1027","N-Glycan Biosynthesis","DAD1",38
"1028","N-Glycan Biosynthesis","DDOST",38
"1029","N-Glycan Biosynthesis","DOLPP1",38
"1030","N-Glycan Biosynthesis","DPAGT1",38
"1031","N-Glycan Biosynthesis","DPM1",38
"1032","N-Glycan Biosynthesis","DPM2",38
"1033","N-Glycan Biosynthesis","DPM3",38
"1034","N-Glycan Biosynthesis","FUT8",38
"1035","N-Glycan Biosynthesis","MAN1A1",38
"1036","N-Glycan Biosynthesis","MAN1A2",38
"1037","N-Glycan Biosynthesis","MAN1B1",38
"1038","N-Glycan Biosynthesis","MAN1C1",38
"1039","N-Glycan Biosynthesis","MAN2A1",38
"1040","N-Glycan Biosynthesis","MAN2A2",38
"1041","N-Glycan Biosynthesis","MGAT1",38
"1042","N-Glycan Biosynthesis","MGAT2",38
"1043","N-Glycan Biosynthesis","MGAT3",38
"1044","N-Glycan Biosynthesis","MGAT4A",38
"1045","N-Glycan Biosynthesis","MGAT4B",38
"1046","N-Glycan Biosynthesis","MGAT5",38
"1047","N-Glycan Biosynthesis","MOGS",38
"1048","N-Glycan Biosynthesis","RPN1",38
"1049","N-Glycan Biosynthesis","RPN2",38
"1050","N-Glycan Biosynthesis","ST6GAL1",38
"1051","N-Glycan Biosynthesis","TUSC3",38
"1052","N-Glycan Biosynthesis","UGDH",38
"1053","N-Glycan Degradation","AGA",14
"1054","N-Glycan Degradation","ENGASE",14
"1055","N-Glycan Degradation","FUCA1",14
"1056","N-Glycan Degradation","FUCA2",14
"1057","N-Glycan Degradation","GALNS",14
"1058","N-Glycan Degradation","GLB1",14
"1059","N-Glycan Degradation","HEXA",14
"1060","N-Glycan Degradation","HEXB",14
"1061","N-Glycan Degradation","MAN2B1",14
"1062","N-Glycan Degradation","MAN2C1",14
"1063","N-Glycan Degradation","MANBA",14
"1064","N-Glycan Degradation","NEU1",14
"1065","N-Glycan Degradation","NEU2",14
"1066","N-Glycan Degradation","NEU4",14
"1067","NAD Metabolism","CD38",9
"1068","NAD Metabolism","NADK",9
"1069","NAD Metabolism","NADSYN1",9
"1070","NAD Metabolism","NMNAT1",9
"1071","NAD Metabolism","NMNAT2",9
"1072","NAD Metabolism","NMNAT3",9
"1073","NAD Metabolism","NNMT",9
"1074","NAD Metabolism","NNT",9
"1075","NAD Metabolism","QPRT",9
"1076","Nucleotide Metabolism","ABCC4",26
"1077","Nucleotide Metabolism","BPNT1",26
"1078","Nucleotide Metabolism","CANT1",26
"1079","Nucleotide Metabolism","DCK",26
"1080","Nucleotide Metabolism","DGUOK",26
"1081","Nucleotide Metabolism","ENTPD1",26
"1082","Nucleotide Metabolism","ENTPD2",26
"1083","Nucleotide Metabolism","ENTPD3",26
"1084","Nucleotide Metabolism","ENTPD4",26
"1085","Nucleotide Metabolism","ENTPD5",26
"1086","Nucleotide Metabolism","ENTPD6",26
"1087","Nucleotide Metabolism","NME1",26
"1088","Nucleotide Metabolism","NME2",26
"1089","Nucleotide Metabolism","NME3",26
"1090","Nucleotide Metabolism","NME4",26
"1091","Nucleotide Metabolism","NME6",26
"1092","Nucleotide Metabolism","NME7",26
"1093","Nucleotide Metabolism","NUDT2",26
"1094","Nucleotide Metabolism","NUDT5",26
"1095","Nucleotide Metabolism","NUDT9",26
"1096","Nucleotide Metabolism","PAPSS1",26
"1097","Nucleotide Metabolism","PAPSS2",26
"1098","Nucleotide Metabolism","SLC29A1",26
"1099","Nucleotide Metabolism","ENPP1",26
"1100","Nucleotide Metabolism","ENPP2",26
"1101","Nucleotide Metabolism","ENPP3",26
"1102","O-Glycan Biosynthesis","A4GNT",24
"1103","O-Glycan Biosynthesis","B3GNT6",24
"1104","O-Glycan Biosynthesis","C1GALT1",24
"1105","O-Glycan Biosynthesis","GALNT1",24
"1106","O-Glycan Biosynthesis","GALNT10",24
"1107","O-Glycan Biosynthesis","GALNT11",24
"1108","O-Glycan Biosynthesis","GALNT12",24
"1109","O-Glycan Biosynthesis","GALNT13",24
